City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,faya,18.3851,42.4509,22.06,35,21,2.6,SA,1666108228
1,farsund,58.0948,6.8047,13.3,100,0,7.65,NO,1666108228
2,new norfolk,-42.7826,147.0587,11.72,58,12,1.34,AU,1666108230
3,jamestown,42.097,-79.2353,5.77,77,100,9.77,US,1666107934
4,lanzhou,36.0564,103.7922,14.53,48,59,1.2,CN,1666108230
5,ushuaia,-54.8,-68.3,8.81,81,75,3.09,AR,1666108231
6,albany,42.6001,-73.9662,10.36,74,29,2.1,US,1666108231
7,carnarvon,-24.8667,113.6333,20.02,76,0,7.46,AU,1666108232
8,sisimiut,66.9395,-53.6735,2.72,98,100,3.79,GL,1666108235
9,saint-pierre,-21.3393,55.4781,22.82,68,0,5.14,RE,1666108236
10,colorado,-22.8375,-51.9731,20.36,86,96,4.69,BR,1666107965
11,nikolskoye,59.7035,30.7861,8.94,90,100,3.22,RU,1666108237
12,trairi,-3.2778,-39.2689,31.07,51,34,8.09,BR,1666108038
13,dobryanka,58.4619,56.4165,5.63,93,100,3.55,RU,1666108237
14,qaanaaq,77.484,-69.3632,-17.32,74,86,3.36,GL,1666108238
15,mataura,-46.1927,168.8643,2.89,96,97,1.36,NZ,1666108238
16,khatanga,71.9667,102.5,-3.46,96,100,9.84,RU,1666108239
17,tasiilaq,65.6145,-37.6368,2.39,84,99,2.38,GL,1666108239
18,tiksi,71.6872,128.8694,-13.6,93,100,3.09,RU,1666108240
19,puerto ayora,-0.7393,-90.3518,22.98,82,41,1.79,EC,1666108242
20,avarua,-21.2078,-159.775,22.03,73,20,2.57,CK,1666108220
21,nuevo laredo,27.4763,-99.5164,12.15,87,75,3.6,MX,1666108147
22,guiratinga,-16.3494,-53.7583,38.35,14,22,3.1,BR,1666108243
23,rikitea,-23.1203,-134.9692,20.41,65,77,9.23,PF,1666108244
24,dukat,62.55,155.55,-15.51,95,100,5.37,RU,1666108244
25,constitucion,-35.3333,-72.4167,15.04,61,79,3.61,CL,1666108245
26,senneterre,48.3835,-77.2328,4.66,90,100,1.18,CA,1666108245
27,bambous virieux,-20.3428,57.7575,22.14,68,75,3.6,MU,1666108246
28,zangakatun,39.8212,45.0406,12.84,55,97,2.15,AM,1666108246
29,saint-louis,16.3333,-15.0,38.8,24,4,1.78,SN,1666108247
30,midwest city,35.4495,-97.3967,9.12,33,75,6.17,US,1666108247
31,grimmen,54.1121,13.0405,16.1,75,26,5.54,DE,1666108249
32,cape town,-33.9258,18.4232,20.61,71,0,9.26,ZA,1666108250
33,stornoway,58.2093,-6.3865,12.18,79,20,3.09,GB,1666108251
34,naberera,-4.2,36.9333,21.12,54,94,6.38,TZ,1666108252
35,chokurdakh,70.6333,147.9167,-14.63,98,94,3.02,RU,1666108253
36,drochia,48.035,27.8161,13.39,30,73,3.46,MD,1666108253
37,klaksvik,62.2266,-6.589,6.51,65,99,4.24,FO,1666108254
38,labuhan,-6.8844,112.2051,25.24,88,100,2.74,ID,1666108254
39,tomatlan,19.9333,-105.25,28.05,71,93,0.58,MX,1666108255
40,clyde river,70.4692,-68.5914,-5.87,93,100,9.77,CA,1666108255
41,sao joao da barra,-21.6403,-41.0511,29.05,75,60,7.15,BR,1666108256
42,margate,51.3813,1.3862,16.84,76,3,1.34,GB,1666108256
43,ancud,-41.8697,-73.8203,14.75,70,11,2.68,CL,1666108257
44,collierville,35.042,-89.6645,7.11,47,0,5.66,US,1666108151
45,kapaa,22.0752,-159.319,22.99,84,0,3.6,US,1666108257
46,mogadishu,2.0371,45.3438,25.67,83,13,6.45,SO,1666108258
47,tsalka,41.5946,44.0891,9.6,95,47,1.73,GE,1666108259
48,dalby,-27.1833,151.2667,16.66,80,100,4.26,AU,1666108259
49,hobart,-42.8794,147.3294,11.92,68,8,6.69,AU,1666108143
50,dikson,73.5069,80.5464,-1.34,75,100,7.28,RU,1666108260
51,hilo,19.7297,-155.09,26.27,83,0,2.57,US,1666108260
52,businga,3.3333,20.8833,24.82,87,99,0.97,CD,1666108261
53,lasa,46.6166,10.7002,23.49,68,11,2.01,IT,1666108019
54,vaini,-21.2,-175.2,23.09,100,20,2.57,TO,1666108262
55,cayenne,4.9333,-52.3333,32.02,58,75,5.14,GF,1666108014
56,ust-kulom,61.6864,53.6902,4.3,88,86,2.85,RU,1666108263
57,udachnyy,66.4167,112.4,-8.08,85,100,2.19,RU,1666108263
58,east london,-33.0153,27.9116,21.52,88,40,4.63,ZA,1666108265
59,busselton,-33.65,115.3333,11.67,92,6,3.95,AU,1666108265
60,airai,-8.9266,125.4092,17.08,93,100,0.28,TL,1666108266
